Date,City,CO,NO2,SO2,O3,PM2.5,PM10,Type
2024-09-23 01:00:00+00:00,Beijing,1167.0,41.5,54.8,10.0,62.2,88.7,Industrial
2024-03-03 00:00:00+00:00,Beijing,1004.0,49.1,63.3,7.0,76.8,112.0,Industrial
2024-09-29 11:00:00+00:00,Beijing,1642.0,87.3,82.3,0.0,118.5,173.7,Industrial
2024-05-11 09:00:00+00:00,Beijing,178.0,11.3,3.7,108.0,15.5,28.4,Industrial
2024-01-21 16:00:00+00:00,Beijing,333.0,17.2,13.8,53.0,9.1,13.0,Industrial
2024-05-22 14:00:00+00:00,Beijing,551.0,46.7,31.8,110.0,67.5,99.2,Industrial
2024-01-04 23:00:00+00:00,Beijing,1747.0,51.1,134.4,1.0,89.2,127.6,Industrial
2024-06-03 14:00:00+00:00,Beijing,683.0,94.7,36.1,28.0,62.9,100.4,Industrial
2024-05-26 14:00:00+00:00,Beijing,875.0,64.6,31.7,1.0,68.7,98.3,Industrial
2024-01-14 06:00:00+00:00,Beijing,274.0,15.7,13.2,62.0,14.6,21.1,Industrial
2024-06-13 20:00:00+00:00,Beijing,631.0,66.2,32.2,12.0,72.6,109.0,Industrial
2024-09-07 11:00:00+00:00,Beijing,1156.0,90.1,57.8,17.0,84.5,121.5,Industrial
2024-08-15 09:00:00+00:00,Beijing,686.0,52.0,47.1,187.0,63.8,92.4,Industrial
2024-03-07 11:00:00+00:00,Beijing,275.0,20.0,10.0,66.0,11.6,16.7,Industrial
2024-08-18 05:00:00+00:00,Beijing,624.0,51.6,41.7,108.0,55.9,80.6,Industrial
2024-11-17 03:00:00+00:00,Beijing,781.0,20.6,20.8,53.0,22.6,46.1,Industrial
2024-03-11 21:00:00+00:00,Beijing,648.0,45.0,30.0,11.0,52.3,74.7,Industrial
2024-03-13 02:00:00+00:00,Beijing,794.0,49.5,49.1,24.0,56.0,81.3,Industrial
2024-05-03 16:00:00+00:00,Beijing,737.0,90.0,42.9,5.0,66.1,95.0,Industrial
2024-03-28 00:00:00+00:00,Beijing,440.0,35.9,22.9,39.0,36.7,83.4,Industrial
2024-05-02 15:00:00+00:00,Beijing,715.0,94.0,41.8,5.0,57.2,82.9,Industrial
2024-02-17 17:00:00+00:00,Beijing,1616.0,60.1,83.3,0.0,106.6,153.2,Industrial
2024-05-12 14:00:00+00:00,Beijing,692.0,87.9,31.1,0.0,43.7,63.1,Industrial
2024-06-14 00:00:00+00:00,Beijing,518.0,38.8,35.1,89.0,58.7,96.9,Industrial
2024-12-31 17:00:00+00:00,Beijing,3895.0,64.5,164.7,0.0,171.4,172.8,Industrial
2024-01-10 06:00:00+00:00,Beijing,1133.0,57.6,89.7,19.0,81.5,119.2,Industrial
2024-11-16 17:00:00+00:00,Beijing,3060.0,57.9,42.7,5.0,61.5,69.4,Industrial
2024-03-11 11:00:00+00:00,Beijing,766.0,60.6,38.0,22.0,67.1,97.8,Industrial
2024-11-21 21:00:00+00:00,Beijing,1261.0,54.3,59.3,1.0,86.8,87.3,Industrial
2024-09-22 21:00:00+00:00,Beijing,794.0,43.4,32.5,0.0,57.9,82.7,Industrial
2024-07-26 16:00:00+00:00,Beijing,923.0,103.3,44.0,13.0,106.2,152.7,Industrial
2024-02-27 01:00:00+00:00,Beijing,825.0,45.9,66.0,12.0,62.6,94.8,Industrial
2024-01-10 05:00:00+00:00,Beijing,1023.0,50.9,81.8,20.0,77.8,113.6,Industrial
2024-09-03 21:00:00+00:00,Beijing,741.0,65.0,43.2,0.0,56.3,81.7,Industrial
2024-05-07 07:00:00+00:00,Beijing,268.0,11.2,8.3,139.0,20.4,30.2,Industrial
