"age","gender_label","armspan","height"
14,"Male",71,71
14,"Female",61,61
15,"Female",66,64
14,"Male",66,69
14,"Female",59,61
15,"Male",71,70
14,"Male",66,66
14,"Female",60,60
14,"Female",61,61
14,"Female",66,66
15,"Male",70,72
14,"Female",64,64
14,"Female",62,64
14,"Female",61,64
16,"Female",64,65
14,"Male",64,65
17,"Male",64,66
14,"Female",66,67
15,"Female",60,64
16,"Female",61,64
14,"Female",63,63
17,"Female",65,60
14,"Male",60,70
14,"Female",60,57
14,"Male",60,66
14,"Female",58,63
14,"Female",67,66
14,"Male",65,66
15,"Male",70,70
14,"Female",64,64
14,"Female",63,62
14,"Male",69,66
14,"Male",65,65
14,"Male",67,66
15,"Male",69,68
14,"Male",60,60
14,"Male",60,60
13,"Male",62,62
15,"Male",68,68
14,"Female",63,63
14,"Male",60,60
14,"Male",62,62
15,"Male",68,68
14,"Female",63,63
14,"Male",65,65
14,"Female",64,64
14,"Female",65,62
14,"Male",66,65
14,"Male",65,66
14,"Female",65,64
15,"Male",66,67
14,"Female",62,65
14,"Male",69,66
14,"Male",65,66
14,"Female",63,63
14,"Female",63,59
14,"Female",58,57
14,"Female",63,65
14,"Female",64,64
14,"Male",69,66
14,"Male",69,68
14,"Female",67,66
14,"Male",67,67
14,"Male",65,65
14,"Male",63,64
13,"Female",59,61
14,"Male",63,64
15,"Female",64,64
14,"Male",64,63
14,"Female",61,62
15,"Female",62,65
15,"Female",60,66
15,"Female",64,65
14,"Male",62,63
14,"Male",72,72
14,"Male",64,60
14,"Male",60,67
14,"Male",61,60
14,"Female",61,59
14,"Female",59,61
14,"Female",59,60
16,"Female",61,63
14,"Male",72,71
14,"Female",60,60
15,"Female",61,61
14,"Male",64,64
14,"Male",66,65
15,"Male",67,70
14,"Female",60,62
14,"Female",61,60
