"caseid","age","gender","fulltime_emp","phys_challenge","sleep","homework","socializing"
"20160302161169",46,"Male","Full time","No difficulty",405,0,154
"20160605162020",59,"Female","Part time","No difficulty",510,0,215
"20161110161116",85,"Male","No answer","Has difficulty",630,0,675
"20160201161026",18,"Female","No answer","No difficulty",480,210,0
"20161010160681",23,"Female","Full time","No difficulty",780,0,240
"20161211162042",61,"Male","Full time","Has difficulty",555,0,210
"20160112150039",44,"Female","Full time","No difficulty",870,0,0
"20160908161660",69,"Male","Full time","No difficulty",405,0,225
"20160504160029",50,"Male","Full time","No difficulty",390,0,150
"20161211161337",61,"Female","Full time","No difficulty",475,0,0
"20161109162319",53,"Female","Full time","No difficulty",420,0,210
"20160605162527",63,"Female","No answer","No difficulty",420,0,360
"20160112152117",65,"Male","No answer","No difficulty",600,0,210
"20161110160692",32,"Female","Full time","No difficulty",480,0,220
"20161211161740",61,"Female","No answer","Has difficulty",270,0,270
"20160706160575",75,"Male","No answer","Has difficulty",480,0,240
"20160504160619",36,"Female","No answer","No difficulty",415,0,512
"20161109161802",32,"Female","Part time","No difficulty",685,0,185
"20160111151451",68,"Female","No answer","No difficulty",713,0,135
"20160606161141",58,"Female","Full time","No difficulty",421,0,151
"20160112150777",31,"Male","No answer","No difficulty",273,0,595
"20161211161940",15,"Female","No answer","No difficulty",700,165,60
"20160907161671",24,"Male","Full time","No difficulty",300,0,70
"20161009161563",44,"Male","Full time","No difficulty",690,0,450
"20160302161453",56,"Male","Full time","No difficulty",360,0,0
"20161109161480",32,"Female","Part time","No difficulty",555,0,65
"20161110160640",58,"Female","No answer","Has difficulty",600,0,343
"20160908161971",51,"Female","Full time","No difficulty",480,0,356
"20160606162418",85,"Female","No answer","Has difficulty",570,0,0
"20160806160500",69,"Female","No answer","Has difficulty",600,0,640
"20161111161818",39,"Male","Full time","No difficulty",480,0,180
"20160302160818",63,"Male","Full time","Has difficulty",570,0,300
"20160302161797",28,"Female","Full time","No difficulty",630,0,105
"20160112151512",37,"Male","Full time","No difficulty",550,0,130
"20160112152148",68,"Female","No answer","No difficulty",540,0,525
"20160112151231",85,"Male","No answer","Has difficulty",745,0,505
"20160504161868",25,"Female","Full time","No difficulty",649,0,52
"20160807160590",77,"Male","No answer","Has difficulty",565,0,485
"20160201161475",56,"Female","Full time","No difficulty",660,0,90
"20160605161487",44,"Female","Part time","No difficulty",530,0,60
"20160303161951",43,"Female","Full time","No difficulty",544,0,554
"20161110160764",30,"Female","Part time","No difficulty",400,0,50
"20160112150908",15,"Male","No answer","No difficulty",750,0,370
"20161009160625",73,"Female","No answer","No difficulty",720,0,465
"20161212161139",56,"Male","Full time","No difficulty",420,0,835
