"caseid","V1","V2","V3","V4","V5","V6","V7"
"20160302161169","46","01","Full time","01","405","0","154"
"20160605162020","59","02","Part time","01","510","0","215"
"20161110161116","85","01","No answer","02","630","0","675"
"20160201161026","18","02","No answer","01","480","210","0"
"20161010160681","23","02","Full time","01","780","0","240"
"20161211162042","61","01","Full time","02","555","0","210"
"20160112150039","44","02","Full time","01","870","0","0"
"20160908161660","69","01","Full time","01","405","0","225"
"20160504160029","50","01","Full time","01","390","0","150"
"20161211161337","61","02","Full time","01","475","0","0"
"20161109162319","53","02","Full time","01","420","0","210"
"20160605162527","63","02","No answer","01","420","0","360"
"20160112152117","65","01","No answer","01","600","0","210"
"20161110160692","32","02","Full time","01","480","0","220"
"20161211161740","61","02","No answer","02","270","0","270"
"20160706160575","75","01","No answer","02","480","0","240"
"20160504160619","36","02","No answer","01","415","0","512"
"20161109161802","32","02","Part time","01","685","0","185"
"20160111151451","68","02","No answer","01","713","0","135"
"20160606161141","58","02","Full time","01","421","0","151"
"20160112150777","31","01","No answer","01","273","0","595"
"20161211161940","15","02","No answer","01","700","165","60"
"20160907161671","24","01","Full time","01","300","0","70"
"20161009161563","44","01","Full time","01","690","0","450"
"20160302161453","56","01","Full time","01","360","0","0"
"20161109161480","32","02","Part time","01","555","0","65"
"20161110160640","58","02","No answer","02","600","0","343"
"20160908161971","51","02","Full time","01","480","0","356"
"20160606162418","85","02","No answer","02","570","0","0"
"20160806160500","69","02","No answer","02","600","0","640"
"20161111161818","39","01","Full time","01","480","0","180"
"20160302160818","63","01","Full time","02","570","0","300"
"20160302161797","28","02","Full time","01","630","0","105"
"20160112151512","37","01","Full time","01","550","0","130"
"20160112152148","68","02","No answer","01","540","0","525"
"20160112151231","85","01","No answer","02","745","0","505"
"20160504161868","25","02","Full time","01","649","0","52"
"20160807160590","77","01","No answer","02","565","0","485"
"20160201161475","56","02","Full time","01","660","0","90"
"20160605161487","44","02","Part time","01","530","0","60"
"20160303161951","43","02","Full time","01","544","0","554"
"20161110160764","30","02","Part time","01","400","0","50"
"20160112150908","15","01","No answer","01","750","0","370"
"20161009160625","73","02","No answer","01","720","0","465"
"20161212161139","56","01","Full time","01","420","0","835"
"20160101161527","80","02","No answer","02","570","0","415"
"20160605162321","75","01","No answer","01","480","0","385"
"20161211162232","53","01","Full time","01","570","0","240"
"20160808161142","63","01","Full time","01","390","0","20"
"20161110162033","66","02","Part time","01","565","0","164"
"20160202160099","47","02","No answer","01","465","0","548"
"20160504161252","24","02","Part time","01","300","0","0"
"20160706161537","32","02","Full time","01","860","0","370"
"20160706160130","40","02","Full time","01","660","0","487"
"20160403162368","45","01","Full time","01","480","0","770"
"20160101160571","65","02","No answer","01","540","0","545"
"20160606161532","44","02","Full time","01","579","0","90"
"20160112152275","16","01","No answer","01","740","285","360"
"20160908162055","60","02","No answer","02","705","0","305"
"20161009160791","24","02","Part time","01","795","0","90"
"20161110160034","38","02","Full time","01","630","0","90"
"20160302161063","80","01","No answer","02","420","0","372"
"20160101162218","30","02","Part time","01","690","0","190"
"20160808161091","60","02","No answer","01","150","0","536"
"20160706160790","54","02","Full time","01","1047","0","240"
"20160101161462","58","01","Full time","02","450","0","40"
"20160302161066","63","01","No answer","02","510","0","635"
"20160302161443","21","02","No answer","01","802","0","0"
"20160101161367","73","02","No answer","01","510","0","210"
"20160807161953","44","01","Full time","01","480","0","195"
"20160907162186","38","02","Part time","01","495","0","215"
"20160605161672","54","01","Full time","01","420","0","95"
"20160807162227","38","01","Full time","01","460","0","135"
"20160605160016","67","01","No answer","02","510","0","927"
"20160706161455","47","02","Full time","01","615","0","405"
"20161110161875","66","02","No answer","01","450","0","355"
"20161211161214","53","02","Part time","01","600","0","330"
"20160807161458","33","02","No answer","01","455","0","425"
"20161009162017","49","02","No answer","02","345","0","590"
"20160807160746","64","01","No answer","01","510","0","325"
"20160605161879","72","01","No answer","01","900","0","480"
"20160505162453","28","01","Part time","01","610","0","210"
"20160908160721","80","02","No answer","02","510","0","510"
"20160112152182","85","02","No answer","02","1095","0","150"
"20161008161526","72","01","No answer","02","760","0","503"
"20161111161688","79","02","No answer","01","395","0","322"
"20160605161985","59","02","Full time","01","536","0","440"
"20160212151112","60","02","No answer","02","630","0","400"
