"caseid","state","age","gender","citizen","marital_stat","veteran","active_armedforces","emp_status","multi_jobs","work_class","retired","fulltime_emp","hours_worked","fam_income","household_size","household_kids","household_child","phys_challenge","travel","phone","volunteer","religion","sports","social","food","gov_civic","household","pro_services","purchasing","education","work","care_nonhousehold","care_household","household_chores","personal_care","sleep","groom","health_related","eating","class","homework","socializing"
"20160302161169","North Carolina",46,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Self-employed, incorporated","No answer","Full time",60,"$150,000 and over",3,1,"Yes","No difficulty",50,0,0,0,0,154,30,0,0,0,6,0,485,0,174,91,450,405,45,0,30,0,0,154
"20160605162020","Illinois",59,"Female","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Part time",20,"$60,000 to $74,999",2,0,"No","No difficulty",55,0,15,180,30,215,90,0,0,0,30,0,0,25,0,185,615,510,90,15,90,0,0,215
"20161110161116","Nebraska",85,"Male","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$15,000 to $19,999",2,0,"No","Has difficulty",0,0,0,30,0,675,105,0,0,0,0,0,0,0,0,0,630,630,0,0,105,0,0,675
"20160201161026","Georgia",18,"Female","Native, Born in USA","Never married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$100,000 to $149,999",6,2,"Yes","No difficulty",50,0,0,0,120,0,90,0,0,0,0,615,0,0,0,0,565,480,85,0,90,405,210,0
"20161010160681","Texas",23,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$5,000 to $7,499",2,0,"No","No difficulty",260,0,0,0,0,240,60,0,0,0,10,0,0,0,0,30,840,780,60,0,60,0,0,240
"20161211162042","Mississippi",61,"Male","Native, Born in USA","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$60,000 to $74,999",2,0,"No","Has difficulty",30,0,0,10,0,210,60,0,0,0,0,0,485,0,0,40,605,555,50,0,60,0,0,210
"20160112150039","Texas",44,"Female","Foreign born, not US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",60,"$30,000 to $34,999",5,2,"Yes","No difficulty",20,0,0,0,0,0,120,0,0,0,120,0,0,0,0,250,930,870,60,0,120,0,0,0
"20160908161660","New York",69,"Male","Foreign born, US citizen","Married","Non-Veteran","No","Employed","No","Private, for profit","No answer","Full time",40,"$150,000 and over",2,0,"No","No difficulty",40,0,0,0,0,225,75,0,0,0,45,0,210,120,5,285,435,405,30,0,75,0,0,225
"20160504160029","Wisconsin",50,"Male","Native, Born in USA","Widowed","Non-Veteran","No","Employed","Yes","Self-employed, incorporated","No answer","Full time",35,"$60,000 to $74,999",2,1,"Yes","No difficulty",90,0,0,0,0,150,60,0,0,15,75,0,450,0,60,120,420,390,30,0,60,0,0,150
"20161211161337","Pennsylvania",61,"Female","Native, Born in USA","Divored","Veteran","No","Employed","No","Government, federal","No answer","Full time",40,"$40,000 to $49,999",1,0,"No","No difficulty",180,0,0,0,0,0,35,0,0,0,35,0,570,0,0,60,560,475,85,0,35,0,0,0
"20161109162319","Washington",53,"Female","Foreign born, US citizen","Never married","Non-Veteran","No","Employed","No","Private, nonprofit","No answer","Full time",40,"$100,000 to $149,999",1,0,"No","No difficulty",40,0,0,0,0,210,35,0,0,0,0,0,541,0,0,58,491,420,71,0,35,0,0,210
"20160605162527","Pennsylvania",63,"Female","Native, Born in USA","Widowed","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$15,000 to $19,999",1,0,"No","No difficulty",5,0,0,0,0,360,90,0,0,0,0,0,0,0,0,505,480,420,60,0,90,0,0,360
"20160112152117","Arizona",65,"Male","Foreign born, not US citizen","Married","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$7,500 to $9,999",2,0,"No","No difficulty",60,0,230,0,0,210,40,0,0,0,120,0,0,0,0,120,660,600,60,0,40,0,0,210
"20161110160692","California",32,"Female","Native, Born in USA","Never married","Non-Veteran","No","Employed","No","Government, local","No answer","Full time",40,"$150,000 and over",2,0,"No","No difficulty",70,20,0,0,0,220,210,0,0,0,0,0,0,0,0,425,495,480,15,0,210,0,0,220
"20161211161740","North Carolina",61,"Female","Native, Born in USA","Divored","Non-Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$30,000 to $34,999",1,0,"No","Has difficulty",42,0,0,120,0,270,30,0,0,0,0,0,0,2,0,676,300,270,30,0,30,0,0,270
"20160706160575","Kentucky",75,"Male","Native, Born in USA","Married","Veteran","No","Not in labor force","No answer","No answer","Retired","No answer",NA,"$60,000 to $74,999",2,0,"No","Has difficulty",710,0,0,0,0,240,0,0,0,0,10,0,0,0,0,0,480,480,0,0,0,0,0,240
"20160504160619","Alabama",36,"Female","Native, Born in USA","Married","Non-Veteran","No","Not in labor force","No answer","No answer","No answer","No answer",NA,"$30,000 to $34,999",5,3,"Yes","No difficulty",20,0,0,0,80,512,65,0,0,0,0,0,0,0,133,125,505,415,90,0,65,0,0,512
