"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"14 years old","Male","9th grade","Yes","Multiple - Hispanic / Latino",1.57,56.7,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","2 times per day","1 time per day","1 time per day","1 glass per day","7 days","7 days","2 hours per day","1 hour per day","2 teams","No","8 hours","1 time per day","1 time per day","0 times"
"16 years old","Female","10th grade","Yes","Hispanic/Latino",1.68,78.02,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","3 days","5 days","2 hours per day","1 hour per day","1 team","No","7 hours",NA,NA,NA
"15 years old","Male","10th grade","Yes","Hispanic/Latino",1.73,73.48,"Did not ride a bicycle","Most of the time","0 days","1 time","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","3 times per day","Did not eat green salad","1 time per day","Did not drink milk","7 days","7 days","Less than 1 hour per day","2 hours per day","3 or more teams","No","8 hours","Did not drink sports drink","4 or more times per day","1 times"
"17 years old","Female","12th grade","No","White",1.63,54.43,"Never wore a helmet","Most of the time","3 to 5 days","0 times","Yes","No","Yes","10 to 19 days","6 to 9 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","Did not drink soda or pop","4 to 6 glasses","7 days","7 days","2 hours per day","2 hours per day","0 teams","No","7 hours","Did not drink sports drink","2 times per day","1 times"
"14 years old","Female","9th grade","No","White",1.7,59.88,"Rarely wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","2 times per day","1 to 3 times","Did not drink soda or pop","1 glass per day","7 days","6 days","No TV on average school day","No playing video/computer game","2 teams","Yes","8 hours","1 time per day","2 times per day","0 times"
"17 years old","Female","11th grade","Yes","Hispanic/Latino",1.52,66.68,NA,"Always",NA,"0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","Very overweight","2 times per day","4 or more times per day","Did not eat green salad","Did not drink soda or pop","Did not drink milk","7 days","6 days","1 hour per day","5 or more hours per day","2 teams","Yes","5 hours","4 or more times per day","4 or more times per day","5 or more times"
"15 years old","Female","10th grade","No","Asian",1.55,54.43,"Never wore a helmet","Always",NA,NA,"No","No","Yes","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 time per day","1 to 3 times","Did not drink soda or pop","4 to 6 glasses","7 days","4 days","2 hours per day","4 hours per day","0 teams","No","5 hours",NA,NA,NA
"18 years old or older","Male","12th grade","Yes","Multiple - Hispanic / Latino",NA,NA,"Always wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days",NA,NA,"4 or more times per day","2 times per day","Did not eat green salad","1 to 3 times","Did not drink milk","0 days","0 days","No TV on average school day","No playing video/computer game","0 teams","Yes","6 hours","Did not drink sports drink","Did not drink water","0 times"
"18 years old or older","Female","12th grade","No","Asian",1.45,54.43,"Did not ride a bicycle","Sometimes","1 or 2 days","4 or 5 times","No","Yes","Yes","1 or 2 days","3 to 5 days","Heterosexual (straight)","Slightly overweight","4 or more times per day","4 or more times per day","4 or more times per day","3 times per day","2 glasses per day","7 days","3 days","Less than 1 hour per day","Less than 1 hour per day","0 teams","Yes","5 hours","4 or more times per day","4 or more times per day","0 times"
"15 years old","Female","9th grade","No","White",NA,NA,NA,NA,"0 days",NA,"Yes","Yes","No","0 days","0 days","Heterosexual (straight)","Very overweight","4 to 6 times","2 times per day","1 to 3 times","1 to 3 times",NA,NA,"5 days","1 hour per day","3 hours per day",NA,"Yes","6 hours",NA,NA,NA
