"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
1,2010,"USA","HI","Male",14,"Right-Handed",184,14,166,1,"Bus",45,0.32,87,"Basketball",900,900,1000,NA,1000,1000,14,"Same length",63,65,"Ring finger","October","Summer","No","No","Pizza/Pasta","Milk","Music",8,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,5,3,6,8,19,3,7,6,2,5,4,3,"Very little","Graduate degree","Rock and roll","Invisibility","Happy","Actor","Education/Youth development"
2,2013,"USA","SC","Female",16,"Left-Handed",165,22,165,1,"Car",10,0.82,30,"Other",600,600,600,600,500,550,22,"Same length",80,80,"Same length","February","Fall","No","No","No favorite","Water","English",7,9,4,"Yes - broadband connection","Text messaging",100,110,50,1,4,3,6,1,10,12,10,4,0,1,"Some","Graduate degree","Other","Invisibility","Happy","Community leader or elder","International aid"
3,2015,"USA","MI","Male",16,"Right-Handed",177,27,183,1,"Car",4,0.63,79,"Football (American)",0,0,0,0,0,1000,27,"Same length",NA,NA,NA,"March","Fall","Yes","No","Meat","Water","Physical education",8,10,5,"Yes - broadband connection","In person",250,275,35,0,0,2,20,0,4,3,5,2,0,0,"Some","Graduate degree","Rap/Hip hop","Invisibility","Rich","Sports person","Arts, culture, sports"
4,2015,"USA","CA","Male",17,"Right-Handed",172,24,150,2,"Skateboard/Scooter/Rollerblade",35,0.44,58,"Table Tennis",770,824,904,508,807,1000,25,"Left foot",110,110,"Same length","May","Spring","No","No","Pizza/Pasta","Water","Physical education",8,NA,2,"Yes - broadband connection","In person",30,30,7,1,2,13,19,7,2,1,75,0,0,30,"A lot","Graduate degree","Rap/Hip hop","Fly","Healthy","Relative","Environment"
5,2010,"USA","IN","Male",17,"Right-Handed",179,27,174,1,"Car",10,0.21,38,"Soccer",650,700,300,NA,500,500,27,"Same length",76,78,"Ring finger","July","Summer","No",NA,"Pizza/Pasta","Soft drink (caffeinated)","Social studies",7,10,4,"Yes - broadband connection","Text messaging",100,100,10,2,2,0,6,0,4,8,3,1,15,2,NA,"Graduate degree","Rap/Hip hop","Invisibility","Happy","Relative","Health"
6,2010,"USA","SC","Female",17,"Right-Handed",152,24.4,195,2,"Car",8,0.44,61,"Baseball/Softball",25,750,750,NA,1000,1000,24,"Same length",NA,NA,NA,"December","Fall","No","No","Pizza/Pasta","Juice","History",7,10,4,"Yes - broadband connection","Text messaging",6,14,12,3,6,3,5,0,5,5,12,6,0,6,"Some","Graduate degree","Punk rock","Fly","Healthy","Other","Health"
7,2012,"USA","PA","Female",17,"Right-Handed",157,19,153,1,"Car",7,0.38,67,"Gymnastics",1000,1000,1000,1000,500,500,19,"Same length",70,75,"Ring finger","March","Summer","No","Yes","Salads","Water","English",6,12,4,"Yes - other","In person",20,25,5,5,10,10,5,0,10,5,7,3,5,2,"Some","Graduate degree","Other","Telepathy","Happy","Coach or club leader","Arts, culture, sports"
8,2014,"USA","MD","Female",13,"Right-Handed",164,22,119,1,"Bus",15,0.41,10,"Swimming",1000,1000,1000,1000,0,0,19,"Right foot",75,65,"Index finger","February","Summer","No","No","Seafood","Soft drink (caffeinated)","Art",8,11,4,"Yes - other","Text messaging",13,15,8,2,1,6,2,4,0,5,0,5,0,1,"A lot","Some college","Country","Freeze time","Happy","Relative","Environment"
9,2015,"USA","VA","Female",17,"Right-Handed",168,25,168,1,"Car",15,0.42,29,"None",615,824,535,647,444,1000,10,"Right foot",90,93,"Ring finger","August","Fall","No","Yes","Pizza/Pasta","Juice","Art",10,12,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,45,0,1,2,0,0,25,25,25,0,8,1,"Some","Graduate degree","Punk rock","Fly","Rich","Musician or singer","Wildlife, animals"
10,2014,"USA","NC","Female",17,"Right-Handed",169,26,168,1,"Car",15,0.42,35,"Soccer",802,813,829,850,893,1000,26,"Same length",100,93,"Index finger","May","Fall","Yes","No","Pizza/Pasta","Water","Science",8,9,4,"Yes - broadband connection","Text messaging",70,80,40,3,2,15,1,0,14,70,10,20,0,0,"A lot","Graduate degree","Pop","Freeze time","Famous","Relative","Education/Youth development"
