"cereal","mfr","calories","protein","fat","sodium","fibre","carbo","sugars","shelf","potassium","vitamins"
"Apple Jacks","Kelloggs",110,2,0,125,1,11,14,2,30,"enriched"
"Basic 4","Genereal Mills",173.33,4,2.67,280,2.67,24,10.67,3,133.33,"enriched"
"Bran Chex","Ralston Purina",134.33,2.99,1.49,298.51,5.97,22.39,8.96,1,186.57,"enriched"
"Bran Flakes","Post",134.33,4.48,0,313.43,7.46,19.4,7.46,3,283.58,"enriched"
"Cap'n'Crunch","Quaker",160,1.33,2.67,293.33,0,16,16,2,46.67,"enriched"
"Cheerios","Genereal Mills",88,4.8,1.6,232,1.6,13.6,0.8,1,84,"enriched"
"Clusters","Genereal Mills",220,6,4,280,4,26,14,3,210,"enriched"
"Corn Chex","Ralston Purina",110,2,0,280,0,22,3,1,25,"enriched"
"Corn Flakes","Kelloggs",100,2,0,290,1,21,2,1,35,"enriched"
"Corn Pops","Kelloggs",110,1,0,90,1,13,12,2,20,"enriched"
"Count Chocula","Genereal Mills",110,1,1,180,0,12,13,2,65,"enriched"
"Cracklin' Oat Bran","Kelloggs",220,6,6,280,8,20,14,3,320,"enriched"
"Frosted Flakes","Kelloggs",146.67,1.33,0,266.67,1.33,18.67,14.67,1,33.33,"enriched"
"Fruit & Fibre: Dates Walnuts and Oats","Post",179.1,4.48,2.99,238.81,7.46,17.91,14.93,3,298.51,"enriched"
"Fruitful Bran","Kelloggs",179.1,4.48,0,358.21,7.46,20.9,17.91,3,283.58,"enriched"
"Fruity Pebbles","Post",146.67,1.33,1.33,180,0,17.33,16,2,33.33,"enriched"
"Golden Crisp","Post",113.64,2.27,0,51.14,0,12.5,17.05,1,45.45,"enriched"
"Golden Grahams","Genereal Mills",146.67,1.33,1.33,373.33,0,20,12,2,60,"enriched"
"Grape Nuts Flakes","Post",113.64,3.41,1.14,159.09,3.41,17.05,5.68,3,96.59,"enriched"
"Honey Nut Cheerios","Genereal Mills",146.67,4,1.33,333.33,2,15.33,13.33,1,120,"enriched"
"Honey-comb","Post",82.71,0.75,0,135.34,0,10.53,8.27,1,26.32,"enriched"
"Lucky Charms","Genereal Mills",110,2,1,180,0,12,12,2,55,"enriched"
"Nut&Honey Crunch","Kelloggs",179.1,2.99,1.49,283.58,0,22.39,13.43,2,59.7,"enriched"
"Nutri-Grain Almond-Raisin","Kelloggs",208.96,4.48,2.99,328.36,4.48,31.34,10.45,3,194.03,"enriched"
"Oatmeal Raisin Crisp","Genereal Mills",260,6,4,340,3,27,20,3,240,"enriched"
"Post Nat. Raisin Bran","Post",179.1,4.48,1.49,298.51,8.96,16.42,20.9,3,388.06,"enriched"
"Puffed Rice","Quaker",50,1,0,0,0,13,0,3,15,"none"
"Quaker Oat Squares","Quaker",200,8,2,270,4,28,12,3,220,"enriched"
"Raisin Bran","Kelloggs",160,4,1.33,280,6.67,18.67,16,2,320,"enriched"
"Raisin Nut Bran","Genereal Mills",200,6,4,280,5,21,16,3,280,"enriched"
"Rice Chex","Ralston Purina",97.35,0.88,0,212.39,0,20.35,1.77,1,26.55,"enriched"
"Rice Krispies","Kelloggs",110,2,0,290,0,22,3,1,35,"enriched"
"Shredded Wheat 'n'Bran","Nabisco",134.33,4.48,0,0,5.97,28.36,0,1,208.96,"none"
"Shredded Wheat spoon size","Nabisco",134.33,4.48,0,0,4.48,29.85,0,1,179.1,"none"
"Smacks","Kelloggs",146.67,2.67,1.33,93.33,1.33,12,20,2,53.33,"enriched"
"Total Corn Flakes","Genereal Mills",110,2,1,200,0,21,3,3,35,"100%"
"Total Whole Grain","Genereal Mills",100,3,1,200,3,16,3,3,110,"100%"
"Triples","Genereal Mills",146.67,2.67,1.33,333.33,0,28,4,3,80,"enriched"
"Trix","Genereal Mills",110,1,1,140,0,13,12,2,25,"enriched"
"Wheaties Honey Gold","Genereal Mills",146.67,2.67,1.33,266.67,1.33,21.33,10.67,1,80,"enriched"
