"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
101110,"Residential",-118.29,34.26,4500,168910,31643,188,35424,69,140,30996,25,22458,10286,11429,12168,14084,1125
101120,"Residential",-118.29,34.27,3280,189926,38666,299,44384,160,5319,30491,3738,18967,18183,1882,25236,2601,1171
101210,"Business",-118.29,34.25,6066,18548,1824,1728,1907,1663,19,2787,588,1233,1841,1919,801,2238,126
101210,"Residential",-118.29,34.25,6066,159767,26783,629,28301,771,4046,24482,3328,21389,16496,8162,15949,9431,395
101220,"Business",-118.28,34.25,3028,10426,831,792,940,872,420,1223,351,777,1641,838,791,950,42
101220,"Residential",-118.28,34.25,3028,111446,20864,146,22517,96,10710,9363,7910,7863,14849,62,16992,74,670
101300,"Business",-118.27,34.25,3974,33338,4685,3393,3455,2996,2973,2531,1752,0,4051,2094,2292,3116,65
101300,"Residential",-118.27,34.25,3974,219770,43552,349,49532,149,40757,312,26603,32,25668,51,32630,135,1380
101400,"Business",-118.29,34.25,3760,30173,4152,3700,3745,2555,2119,1739,1415,925,2039,1814,2329,3641,86
101400,"Residential",-118.29,34.25,3760,191212,38885,99,43172,116,35829,95,24080,65,21192,12,27585,82,1260
102101,"Business",-118.35,34.24,3387,45815,5485,5564,5504,4503,3770,2697,2156,1787,1960,2842,4617,4930,41
102101,"Residential",-118.35,34.24,3387,255843,45734,242,53322,229,50929,295,42449,70,24911,157,37322,183,776
102102,"Business",-118.35,34.22,6739,38044,3807,4739,4903,4008,3199,1949,2009,1746,1700,3059,3015,3910,35
102102,"Residential",-118.35,34.22,6739,386273,76506,300,84260,289,70090,309,44050,174,49020,207,60776,292,1540
103101,"Residential",-118.31,34.27,2610,133511,26456,170,28974,124,171,24367,27,16604,2986,12724,3685,17223,910
103102,"Business",-118.31,34.26,4462,18353,2143,1879,1588,2009,34,1747,1182,946,1241,2245,844,2495,60
103102,"Residential",-118.31,34.26,4462,194571,35851,829,40086,812,341,33958,561,24569,804,22697,567,33496,1490
103200,"Business",-118.33,34.27,5484,98047,13508,13136,13477,10575,4675,9878,4505,3837,4629,5438,5464,8925,40
103200,"Residential",-118.33,34.27,5484,285121,33946,31685,32903,28146,393,48499,1679,31419,1274,31564,1560,42053,1340
103300,"Business",-118.35,34.26,3739,37756,5116,3601,4694,3136,1168,3258,3412,2385,2260,2815,2525,3386,43
103300,"Residential",-118.35,34.26,3739,351351,45345,36034,45130,34576,653,64218,261,34241,404,37963,440,52086,1404
103400,"Business",-118.31,34.26,6209,34667,3072,2947,3415,3717,3247,3102,2654,2052,2520,2720,2404,2817,86
103400,"Residential",-118.31,34.26,6209,293131,56934,417,61642,450,56509,287,36531,261,32434,229,47144,293,1586
104103,"Residential",-118.39,34.28,3840,125295,172,24273,523,25448,196,21423,24,16938,81,16069,36,20112,767
104104,"Residential",-118.38,34.28,3507,140561,509,29768,107,28963,98,24232,26,17351,25,16694,45,22743,742
104105,"Business",-118.41,34.28,5233,16871,1975,1448,1577,1617,1465,1463,1176,1157,1154,1154,1254,1431,17
104105,"Residential",-118.41,34.28,5233,69826,2263,8808,2783,9786,2042,8344,1797,7076,1841,12371,1925,10790,120
104106,"Business",-118.4,34.27,4886,9786,802,682,691,767,788,759,702,852,854,890,1078,921,21
104106,"Residential",-118.4,34.27,4886,192448,5204,29384,7103,32206,6824,27892,5775,21579,4779,20222,5516,25964,491
104201,"Business",-118.42,34.29,4787,11330,1530,787,1062,1219,864,1013,820,680,743,850,888,874,39
104201,"Residential",-118.42,34.29,4787,140183,196,27553,373,26914,210,24081,241,18637,506,18391,106,22975,744
104202,"Business",-118.41,34.28,7809,83846,5572,10824,8230,8333,7139,7793,6050,5777,4712,5473,6170,7773,50
104202,"Residential",-118.41,34.28,7809,260413,3123,45689,3652,46341,3102,36191,2781,37618,2691,35907,2990,40328,856
104310,"Business",-118.43,34.28,3176,14696,1035,1094,1088,1263,1021,1197,1106,1658,1147,1296,1454,1337,54
104310,"Residential",-118.43,34.28,3176,82465,36,14699,737,15313,151,14975,122,10930,20,11641,107,13734,462
104320,"Business",-118.42,34.27,5695,14720,1365,1503,1251,1270,1081,1324,1122,1140,1068,1070,1199,1327,110
104320,"Residential",-118.42,34.27,5695,164435,803,28161,1194,29226,794,35928,672,20424,504,20518,512,25699,830
104401,"Business",-118.43,34.27,4584,23296,1909,2201,2154,2154,2051,1931,1785,1655,1737,1801,1965,1953,108
104401,"Residential",-118.43,34.27,4584,116912,143,23612,340,21325,199,19311,169,16280,77,15575,135,19746,663
104402,"Business",-118.43,34.26,5012,15707,1452,1377,1380,1485,1307,1359,1279,1193,1346,1134,1202,1193,54
104402,"Residential",-118.43,34.26,5012,157717,131,46984,107,23903,70,25389,15,18511,2,19717,76,22812,724
104500,"Business",-118.43,34.25,4847,21122,1844,1329,2033,1363,1285,2550,2168,1902,1305,1202,2496,1645,42
104500,"Residential",-118.43,34.25,4847,134343,25625,142,28394,232,22951,186,20266,18,16962,61,19456,50,728
104610,"Business",-118.42,34.26,3600,17233,1447,1709,1491,1573,1344,1471,1451,1252,1120,1260,1130,1985,61
104610,"Residential",-118.42,34.26,3600,87050,16327,41,17625,152,14950,49,14251,36,10868,21,12711,19,487
104620,"Residential",-118.42,34.26,3417,94578,18374,55,19802,87,16029,47,14427,33,10850,45,14788,41,561
104701,"Business",-118.42,34.27,4168,29256,3390,2270,2496,2239,2680,2869,2333,2108,2237,2053,2058,2523,39
104701,"Residential",-118.42,34.27,4168,134771,1171,18421,976,14937,822,36390,675,12074,662,30979,682,16982,306
104702,"Business",-118.4,34.26,6262,80360,6588,7622,8023,7839,7578,7009,6090,5722,5312,6062,6186,6329,209
104702,"Residential",-118.4,34.26,6262,151623,1422,25606,1232,29657,1226,24223,1186,18707,966,17574,1045,28779,447
104810,"Business",-118.41,34.25,5101,25739,2437,2714,2348,2317,1941,2164,1888,1797,1877,2206,1831,2219,54
104810,"Residential",-118.41,34.25,5101,154176,29888,395,32540,234,26422,300,22820,174,18562,37,22735,69,851
104820,"Business",-118.42,34.25,5389,21385,1945,1914,1700,1840,1733,1955,1843,1839,1633,1666,1577,1740,39
104820,"Residential",-118.42,34.25,5389,171320,30766,2128,31919,2052,27797,1840,25100,1451,19998,2038,24250,1981,604
106010,"Residential",-118.44,34.32,4139,191206,112,37351,166,38895,127,28199,88,27269,4,22101,9,36885,617
106020,"Business",-118.43,34.32,5817,15176,1137,1334,1336,1057,1000,1118,949,606,701,3340,1124,1474,23
106020,"Residential",-118.43,34.32,5817,241573,372,50585,308,49781,141,39612,139,28955,271,31273,60,40076,1311
106111,"Residential",-118.41,34.32,3869,320726,11794,55564,242,42711,34384,36992,12849,24607,13623,34524,8390,45046,875
106112,"Business",-118.42,34.31,4753,101220,10001,10920,9888,9503,9433,9949,7455,6542,6452,6848,6953,7276,94
106112,"Residential",-118.42,34.31,4753,175649,298,36514,260,35008,253,29436,141,21622,69,23044,109,28895,1062
106113,"Business",-118.42,34.31,3084,24418,2150,2366,2249,2237,2133,2253,1761,1564,1595,2127,2245,1738,21
106113,"Residential",-118.42,34.31,3084,125993,209,26844,208,25930,119,21121,215,14792,47,15917,91,20500,674
106114,"Business",-118.43,34.3,5136,33581,3321,2993,2853,2908,2879,3025,2791,2460,2197,2658,2653,2843,40
106114,"Residential",-118.43,34.3,5136,149687,2823,26046,2641,26429,2280,22678,2080,20269,1665,17334,1171,24271,488
106402,"Business",-118.45,34.32,6817,8491,880,890,894,798,677,692,768,554,506,603,574,655,23
106402,"Residential",-118.45,34.32,6817,372186,929,67364,4370,63703,358,61117,3012,37117,720,62774,374,70348,994
106403,"Residential",-118.44,34.3,3619,123174,161,25377,187,24617,107,19354,167,16851,63,16484,155,19651,773
106404,"Business",-118.44,34.31,4833,21461,918,3052,1812,2150,1646,2112,1659,1706,1336,1241,2198,1631,19
106404,"Residential",-118.44,34.31,4833,104102,3684,16165,3296,16249,2970,14427,3186,12635,2615,12131,3060,13684,128
106510,"Business",-118.48,34.32,3651,14660,1280,1558,1716,1295,1393,1512,1105,700,671,966,1141,1323,31
106510,"Residential",-118.48,34.32,3651,179551,1275,37365,1309,37300,874,28559,1097,19669,583,20488,815,30217,647
106520,"Business",-118.46,34.31,5717,67925,6281,6554,6756,6249,5594,5140,4836,4522,4896,5172,5548,6377,73
106520,"Residential",-118.46,34.31,5717,177125,287,34851,247,34429,247,27674,110,22284,4534,21820,85,30557,895
106602,"Business",-118.49,34.29,5536,142596,21737,19974,18576,12150,10891,5541,9343,3970,3270,5882,13054,18208,38
106602,"Residential",-118.49,34.29,5536,430713,236,94778,167,87515,256,70100,210,44941,89,53074,99,79248,1735
106603,"Residential",-118.51,34.31,3051,227247,272,48580,42,46974,65,37067,79,25547,65,27454,76,41026,977
106604,"Business",-118.47,34.3,4861,114270,10860,11675,12163,11821,9682,9005,8593,6310,6262,7365,8477,12057,104
106604,"Residential",-118.47,34.3,4861,313414,1696,68435,1863,62836,1237,46236,298,32583,2084,41758,1099,53289,1081
106605,"Business",-118.46,34.29,5818,14842,1336,1433,1533,1117,1004,1700,1336,1197,904,990,1242,1050,47
106605,"Residential",-118.46,34.29,5818,196039,1010,38114,904,38188,700,31270,608,25886,535,25137,707,32980,1022
