"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
101110,"Residential",-118.29,34.26,4500,168910,31643,188,35424,69,140,30996,25,22458,10286,11429,12168,14084,1125
209520,"Residential",-118.28,34.05,2772,86963,14105,10474,4813,10346,2560,2722,12592,2212,11052,2293,11523,2271,79
139801,"Residential",-118.54,34.15,3446,558188,994,121699,1007,121117,410,96970,328,54674,387,61724,707,98171,1368
201402,"Business",-118.19,34.07,4484,15860,1211,1148,1285,1363,2130,1230,1512,1210,1038,968,1385,1380,64
123602,"Residential",-118.43,34.18,3461,174657,497,35533,497,33437,355,28331,332,21152,363,22736,279,31145,700
262400,"Residential",-118.51,34.08,3236,592052,389,125585,812,123952,357,92709,250,43162,15113,80007,264,109452,1329
213402,"Business",-118.29,34.05,5318,23347,2107,2066,1879,2248,1836,2227,1961,1904,1700,1798,1692,1929,36
219900,"Residential",-118.36,34.03,5993,166653,242,30442,185,29743,92,27732,63,26687,88,24300,340,26739,989
143300,"Business",-118.39,34.15,5565,14072,1358,1320,1272,1315,1280,1159,951,965,952,1001,987,1512,36
240400,"Residential",-118.29,33.95,5899,179948,32115,101,32346,97,29873,89,31037,435,25637,125,28043,50,1027
181300,"Residential",-118.22,34.14,3771,153969,70,28712,84,30311,82,27812,95,21065,36,20176,9,25517,1072
141400,"Business",-118.48,34.16,4286,116143,19812,10916,10113,9613,9544,9489,8415,6971,7249,7850,8026,8145,111
190301,"Residential",-118.31,34.1,5676,184216,5059,24322,6259,27252,4472,29144,4022,25284,4062,20859,8866,24615,250
189200,"Government",-118.3,34.11,6681,60811,5988,9712,9374,4892,408,5778,105,791,3987,4412,6269,9095,16
221400,"Residential",-118.31,34.03,4350,132823,608,23834,705,23665,655,21465,522,18537,493,17923,506,23910,392
123203,"Residential",-118.39,34.2,4071,101743,354,17923,1496,17501,313,16967,310,14554,272,15268,271,16514,261
234900,"Business",-118.33,33.98,7064,18301,1709,2080,1645,1631,1548,1878,1557,1393,1347,1069,1268,1176,79
201401,"Business",-118.18,34.08,4738,6437,647,585,675,625,534,560,517,459,398,437,427,573,46
265600,"Residential",-118.43,34.06,5763,304949,7832,38988,8291,38091,10276,61276,8109,35951,11182,34863,7252,42838,818
237600,"Residential",-118.28,33.98,5750,152981,7327,20022,7489,19800,5927,20176,6391,18107,7044,16779,5967,17952,838
218600,"Business",-118.34,34.04,3742,25097,2212,1979,2099,2145,1983,2173,2059,2220,1971,1866,2004,2386,56
119340,"Residential",-118.45,34.23,6864,188323,31847,3062,29477,3341,29750,3243,29464,2944,23729,3082,25455,2929,202
106604,"Residential",-118.47,34.3,4861,313414,1696,68435,1863,62836,1237,46236,298,32583,2084,41758,1099,53289,1081
224310,"Residential",-118.28,34.04,2238,54557,8651,147,9677,164,9834,184,9382,144,7826,216,8024,308,117
120300,"Residential",-118.44,34.22,4982,204328,38852,1293,39511,1498,35721,1377,31652,1252,23111,1318,27568,1175,1228
296220,"Government",-118.28,33.74,3605,7739,822,694,838,653,708,555,561,453,411,742,603,699,17
192620,"Business",-118.3,34.08,4253,6851,516,475,516,561,620,692,693,724,479,528,490,557,22
197200,"Residential",-118.24,34.09,4979,142492,26421,63,26614,55,24712,29,23569,116,19699,110,21066,38,1124
197110,"Residential",-118.24,34.08,586,15096,397,2900,0,2693,0,1900,548,1628,701,1812,320,2197,127
212204,"Residential",-118.29,34.06,3397,87964,12506,1998,12409,2695,12502,2805,13043,2231,12142,2098,11149,2386,71
269500,"Residential",-118.39,34.04,3892,298253,514,58848,420,58676,234,51568,100,36456,45,38054,172,53166,1519
134401,"Business",-118.64,34.21,6225,14135,1246,1065,1189,1259,1280,1250,1014,1012,1121,1164,1156,1379,20
195600,"Business",-118.27,34.08,3529,40705,2661,2497,2852,3152,2693,3206,2738,5246,6312,3171,2974,3203,64
191110,"Residential",-118.3,34.1,3818,103744,3479,15435,3851,15568,3311,13770,3487,13170,2632,12314,3222,13505,142
128303,"Residential",-118.45,34.18,4087,118260,20179,470,20820,487,22183,518,17789,587,16906,618,17192,511,170
189902,"Residential",-118.35,34.1,5593,198837,28381,6305,27549,6707,119,29613,6409,26075,5997,31568,111,30003,294
104106,"Residential",-118.4,34.27,4886,192448,5204,29384,7103,32206,6824,27892,5775,21579,4779,20222,5516,25964,491
276601,"Residential",-118.43,33.96,3450,192142,35956,202,37018,340,32752,132,29401,93,24122,111,31805,210,1139
211910,"Residential",-118.3,34.07,4954,160320,21372,4665,25728,4905,20809,4275,21656,4721,21953,5222,19901,5113,100
