"census","sector_type","longitude","latitude","census_pop","total","july","aug","sept","oct","nov","dec","jan","feb","mar","apr","may","june","count"
101210,"Residential",-118.29,34.25,6066,159767,26783,629,28301,771,4046,24482,3328,21389,16496,8162,15949,9431,395
101300,"Residential",-118.27,34.25,3974,219770,43552,349,49532,149,40757,312,26603,32,25668,51,32630,135,1380
101400,"Business",-118.29,34.25,3760,30173,4152,3700,3745,2555,2119,1739,1415,925,2039,1814,2329,3641,86
102102,"Residential",-118.35,34.22,6739,386273,76506,300,84260,289,70090,309,44050,174,49020,207,60776,292,1540
103200,"Business",-118.33,34.27,5484,98047,13508,13136,13477,10575,4675,9878,4505,3837,4629,5438,5464,8925,40
103400,"Business",-118.31,34.26,6209,34667,3072,2947,3415,3717,3247,3102,2654,2052,2520,2720,2404,2817,86
103400,"Residential",-118.31,34.26,6209,293131,56934,417,61642,450,56509,287,36531,261,32434,229,47144,293,1586
104105,"Business",-118.41,34.28,5233,16871,1975,1448,1577,1617,1465,1463,1176,1157,1154,1154,1254,1431,17
104105,"Residential",-118.41,34.28,5233,69826,2263,8808,2783,9786,2042,8344,1797,7076,1841,12371,1925,10790,120
104201,"Business",-118.42,34.29,4787,11330,1530,787,1062,1219,864,1013,820,680,743,850,888,874,39
104202,"Business",-118.41,34.28,7809,83846,5572,10824,8230,8333,7139,7793,6050,5777,4712,5473,6170,7773,50
104310,"Business",-118.43,34.28,3176,14696,1035,1094,1088,1263,1021,1197,1106,1658,1147,1296,1454,1337,54
104320,"Business",-118.42,34.27,5695,14720,1365,1503,1251,1270,1081,1324,1122,1140,1068,1070,1199,1327,110
104320,"Residential",-118.42,34.27,5695,164435,803,28161,1194,29226,794,35928,672,20424,504,20518,512,25699,830
104401,"Residential",-118.43,34.27,4584,116912,143,23612,340,21325,199,19311,169,16280,77,15575,135,19746,663
104402,"Business",-118.43,34.26,5012,15707,1452,1377,1380,1485,1307,1359,1279,1193,1346,1134,1202,1193,54
104500,"Business",-118.43,34.25,4847,21122,1844,1329,2033,1363,1285,2550,2168,1902,1305,1202,2496,1645,42
104500,"Residential",-118.43,34.25,4847,134343,25625,142,28394,232,22951,186,20266,18,16962,61,19456,50,728
104620,"Residential",-118.42,34.26,3417,94578,18374,55,19802,87,16029,47,14427,33,10850,45,14788,41,561
104701,"Business",-118.42,34.27,4168,29256,3390,2270,2496,2239,2680,2869,2333,2108,2237,2053,2058,2523,39
104702,"Business",-118.4,34.26,6262,80360,6588,7622,8023,7839,7578,7009,6090,5722,5312,6062,6186,6329,209
106020,"Business",-118.43,34.32,5817,15176,1137,1334,1336,1057,1000,1118,949,606,701,3340,1124,1474,23
106113,"Residential",-118.42,34.31,3084,125993,209,26844,208,25930,119,21121,215,14792,47,15917,91,20500,674
106114,"Business",-118.43,34.3,5136,33581,3321,2993,2853,2908,2879,3025,2791,2460,2197,2658,2653,2843,40
106402,"Business",-118.45,34.32,6817,8491,880,890,894,798,677,692,768,554,506,603,574,655,23
106403,"Residential",-118.44,34.3,3619,123174,161,25377,187,24617,107,19354,167,16851,63,16484,155,19651,773
