"team","player","ht_inches","wt_lbs","age","league"
"Arizona","Carson Palmer",77,235,37,"NFL"
"Atlanta","Matt Ryan",76,217,32,"NFL"
"Baltimore","Joe Flacco",78,245,32,"NFL"
"Buffalo","Tyrod Taylor",73,215,27,"NFL"
"Carolina","Cam Newton",77,245,28,"NFL"
"Chelsea","Matt Miazga",76,185,22,"USMNT"
"Chicago","Mike Glennon",78,225,27,"NFL"
"Chicago","Dax McCarty",69,150,30,"USMNT"
"Cincinnati","Andy Dalton",74,220,29,"NFL"
"Cleveland","Cody Kessler",73,215,24,"NFL"
"Club Tijuana","Paul Arriola",68,145,22,"USMNT"
"Club Tijuana","Joe Corona",70,165,27,"USMNT"
"Colorado","Tim Howard",75,210,38,"USMNT"
"Dallas","Dak Prescott",74,226,23,"NFL"
"Dallas","Kellyn Acosta",70,150,22,"USMNT"
"Dallas","Jesse Gonzalez",76,185,22,"USMNT"
"Dallas","Matt  Hedges",76,190,27,"USMNT"
"Denver","Trevor Siemian",75,220,25,"NFL"
"Detroit","Matthew Stafford",75,226,29,"NFL"
"Green Bay","Aaron Rodgers",74,225,33,"NFL"
"Houston","Tom Savage",76,230,27,"NFL"
"Indianapolis","Andrew Luck",76,240,27,"NFL"
"Jacksonville","Blake Bortles",77,239,25,"NFL"
"Kansas City","Alex Smith",76,217,33,"NFL"
"Kansas City","Matt Besler",72,170,30,"USMNT"
"Kansas City","Graham Zusi",70,160,31,"USMNT"
"Los Angeles","Philip Rivers",77,228,35,"NFL"
"Los Angeles","Jared Goff",76,215,22,"NFL"
"Los Angeles","Gyasi Zardes",74,175,26,"USMNT"
"Miami","Ryan Tannehill",76,216,28,"NFL"
"Minnesota","Sam Bradford",76,224,29,"NFL"
"New England","Tom Brady",76,225,39,"NFL"
"New England","Juan Agudelo",73,180,25,"USMNT"
"New Orleans","Drew Brees",72,209,38,"NFL"
"New York","Eli Manning",76,218,36,"NFL"
"New York","Josh McCown",76,218,37,"NFL"
"Nottingham Forest","Eric Lichaj",71,175,29,"USMNT"
"Oakland","Derek Carr",75,215,26,"NFL"
"Pachuca","Omar Gonzalez",77,210,29,"USMNT"
"Philadelphia Union","Chris Pontius",72,170,30,"USMNT"
"Philidelphia","Carson Wentz",77,237,24,"NFL"
"Pittsburg","Ben Roethlisberger",77,240,35,"NFL"
"Portland Timbers","Darlington Nagbe",69,165,27,"USMNT"
"San Francisco","Brian Hoyer",74,215,31,"NFL"
"Santos Laguna","Jorge Villafaña",69,150,28,"USMNT"
"Seattle","Russell Wilson",71,215,28,"NFL"
"Seattle","Clint Dempsey",73,170,34,"USMNT"
"Seattle","Jordan Morris",71,185,23,"USMNT"
"Tampa Bay","Jameis Winston",76,231,23,"NFL"
"Tennessee","Marcus Mariota",76,222,23,"NFL"
"Toronto","Jozy Altidore",73,175,28,"USMNT"
"Toronto","Michael Bradley",74,185,30,"USMNT"
"Toronto","Justin Morrow",69,165,30,"USMNT"
"Washington D.C.","Kirk Cousins",75,210,28,"NFL"
"Washington D.C.","Bill Hamid",75,225,27,"USMNT"
