"title","year","runtime","mpaa_rating","studio","color","director","language","country","aspect_ratio","n_poster_faces","n_critics","n_audience","reviews_num","audience_rating","critics_rating","budget","gross","imdb_id"
"Me and You and Everyone We Know ",2005,91,"R","IFC Films","Color","Miranda July","English","USA",1.85,0,151,243,394,7.4,81,2e+06,3885134,"tt0415978"
"Maximum Risk ",1996,101,"R","Sony Pictures Home Entertainment","Color","Ringo Lam","English","USA",2.35,1,50,68,118,5.4,28,2.5e+07,14095303,"tt0117011"
"The Oh in Ohio ",2006,88,"R","Cyan Pictures","Color","Billy Kent","English","USA",2.35,0,50,56,106,5.6,22,5e+06,NA,"tt0422861"
"The Muppets ",2011,103,"PG","Walt Disney Pictures","Color","James Bobin","English","USA",1.85,3,398,252,650,7.1,96,4.5e+07,88625922,"tt1204342"
"The Harvest/La Cosecha ",2011,80,NA,"Cinema Libre","Color","U. Roberto Romano","English","USA",NA,0,3,2,5,7.2,NA,560000,2245,"tt1981703"
"The Host ",2013,125,"PG-13","Open Road Films","Color","Andrew Niccol","English","USA",2.35,3,298,347,645,5.9,8,4e+07,26616999,"tt1517260"
"Funny Games ",2007,111,"R","Warner Independent Pictures","Color","Michael Haneke","English","USA",1.85,0,250,436,686,6.5,52,1.5e+07,1294640,"tt0808279"
"Volcano ",1997,104,"PG-13","Twentieth Century Fox Home Entertainment","Color","Mick Jackson","English","USA",1.85,0,84,181,265,5.4,46,9e+07,47474112,"tt0120461"
"The Expendables 3 ",2014,131,"PG-13","Lionsgate Pictures","Color","Patrick Hughes","English","USA",2.35,15,320,351,671,6.1,32,9e+07,39292022,"tt2333784"
"Philadelphia ",1993,125,"PG-13","Sony Pictures Home Entertainment","Color","Jonathan Demme","English","USA",1.85,2,68,261,329,7.7,78,2.6e+07,77324422,"tt0107818"
"Mortal Kombat: Annihilation ",1997,95,"PG-13","New Line Home Entertainment","Color","John R. Leonetti","English","USA",1.85,0,59,256,315,3.7,3,3e+07,35927406,"tt0119707"
"Easy Virtue ",2008,97,"PG-13","Sony Pictures Classics","Color","Stephan Elliott","English","UK",2.35,4,135,79,214,6.7,51,NA,2656324,"tt0808244"
"Wanderlust ",2012,98,"R","Universal Pictures","Color","David Wain","English","USA",1.85,2,163,139,302,5.6,60,NA,17225675,"tt1655460"
"Caravans ",1978,127,"PG","FIDCI","Color","James Fargo","English","Iran",2.35,0,2,8,10,6.5,NA,1.4e+07,1e+06,"tt0077296"
"Vamps ",2012,92,"PG-13","Anchor Bay Entertainment","Color","Amy Heckerling","English","USA",1.78,2,54,42,96,5.1,53,1.6e+07,2964,"tt1545106"
"Supercapitalist ",2012,102,"Not Rated","Truly Indie","Color","Simon Yin","English","USA",NA,0,20,9,29,3.9,18,NA,13220,"tt1734586"
"Alvin and the Chipmunks ",2007,92,"PG","20th Century Fox","Color","Tim Hill","English","USA",1.85,0,131,146,277,5.2,27,6e+07,217326336,"tt0952640"
"Capricorn One ",1977,130,"PG","Warner Bros. Pictures","Color","Peter Hyams","English","USA",2.35,0,64,153,217,6.8,61,5e+06,NA,"tt0077294"
"The Full Monty ",1997,91,"R","Twentieth Century Fox Home Entertainment","Color","Peter Cattaneo","English","UK",1.85,3,122,174,296,7.2,95,3500000,45857453,"tt0119164"
"Resident Evil: Retribution ",2012,96,"R","Screen Gems","Color","Paul W.S. Anderson","English","Germany",2.35,0,239,423,662,5.4,31,6.5e+07,42345531,"tt1855325"
"Switchback ",1997,118,"R","Paramount Home Video","Color","Jeb Stuart","English","USA",2.35,1,38,81,119,6.4,32,3.7e+07,6482195,"tt0119210"
"The Boy Next Door ",2015,91,"R","Universal Pictures","Color","Rob Cohen","English","USA",2.35,1,149,131,280,4.6,10,4e+06,35385560,"tt3181822"
"Swelter ",2014,96,"R","Well Go USA","Color","Keith Parmer","English","USA",NA,6,21,24,45,4.6,NA,8e+06,NA,"tt2112277"
"Reign Over Me ",2007,124,"R","Sony Pictures","Color","Mike Binder","English","USA",2.35,2,154,231,385,7.5,64,2e+07,19661987,"tt0490204"
"The Wicked Within ",2015,84,"R","High Five Films","Color","Jay Alaimo","English","USA",NA,0,9,7,16,4.6,NA,1200000,NA,"tt1943014"
"The Chambermaid on the Titanic ",1997,101,NA,"Alta Films","Color","Bigas Luna","French","France",2.35,1,22,14,36,6.8,81,NA,244465,"tt0129923"
"Zathura: A Space Adventure ",2005,101,"PG","Sony Pictures","Color","Jon Favreau","English","USA",1.85,0,136,202,338,6.1,75,6.5e+07,28045540,"tt0406375"
"The Best Man ",1999,120,"R","Universal Pictures","Color","Malcolm D. Lee","English","USA",1.85,6,32,79,111,6.7,72,9e+06,34074895,"tt0168501"
"Rise of the Guardians ",2012,97,"PG","Paramount Studios","Color","Peter Ramsey","English","USA",1.85,0,256,174,430,7.3,73,1.45e+08,103400692,"tt1446192"
"Inescapable ",2012,93,"R","IFC Films","Color","Ruba Nadda","English","Canada",2.35,3,36,20,56,5.2,19,4e+06,4063,"tt1844203"
"Planet 51 ",2009,91,"PG","Sony Pictures/TriStar Pictures","Color","Jorge Blanco","English","Spain",2.35,1,156,72,228,6.1,21,7e+07,42194060,"tt0762125"
"Lucky Number Slevin ",2006,110,"R",NA,"Color","Paul McGuigan","English","Germany",2.35,3,202,507,709,7.8,NA,2.7e+07,22494487,"tt0425210"
"Slow Burn ",2005,93,"R","Lions Gate Films","Color","Wayne Beach","English","USA",1.85,0,40,24,64,5.9,12,15500000,1181197,"tt0376196"
"Dinosaur ",2000,82,"PG","Buena Vista","Color","Eric Leighton","English","USA",1.85,1,145,241,386,6.5,65,127500000,137748063,"tt0130623"
"Spider-Man ",2002,121,"PG-13","Columbia Pictures","Color","Sam Raimi","English","USA",1.85,0,291,2012,2303,7.3,89,1.39e+08,403706375,"tt0145487"
"The Haunting in Connecticut 2: Ghosts of Georgia ",2013,101,"R","The Film Arcade","Color","Tom Elkins","English","USA",2.35,0,79,57,136,5.3,19,9e+06,NA,"tt1457765"
"Think Like a Man ",2012,122,"PG-13","Sony Screen Gems","Color","Tim Story","English","USA",2.35,8,77,62,139,6.6,53,1.2e+07,91547205,"tt1621045"
"The Wedding Planner ",2001,103,"PG-13","Cinedigm","Color","Adam Shankman","English","Germany",2.35,2,108,229,337,5.2,NA,3.5e+07,60400856,"tt0209475"
"2 Guns ",2013,109,"R","Universal Pictures","Color","Baltasar Kormákur","English","USA",2.35,1,265,172,437,6.7,64,6.1e+07,75573300,"tt1272878"
"The Godfather: Part III ",1990,170,"R","Paramount Pictures","Color","Francis Ford Coppola","English","USA",1.85,1,110,545,655,7.6,67,5.4e+07,66676062,"tt0099674"
"Ace Ventura: Pet Detective ",1994,78,"PG-13","Warner Bros. Pictures","Color","Tom Shadyac","English","USA",1.85,1,61,242,303,6.9,46,1.2e+07,72217000,"tt0109040"
"Our Family Wedding ",2010,103,"PG-13","Fox Searchlight","Color","Rick Famuyiwa","English","USA",2.35,2,71,20,91,4.9,13,1.4e+07,20246959,"tt1305583"
"Prison ",1987,102,"R","New World Video","Color","Renny Harlin","English","USA",1.85,0,68,38,106,5.9,40,1300000,354704,"tt0095904"
"Fascination ",2004,103,"R","MGM/UA","Color","Klaus Menzel","English","Germany",2.35,0,13,44,57,3.3,4,5e+06,16066,"tt0305632"
"Black Rock ",2012,83,"R","LD Entertainment","Color","Katie Aselton","English","USA",1.85,1,95,47,142,4.7,49,NA,NA,"tt1930294"
"Benji ",1974,86,"G","E1 Entertainment","Color","Joe Camp","English","USA",1.85,0,5,36,41,6.1,86,5e+05,39552600,"tt0071206"
"Whiplash ",2014,107,"R","Sony Pictures Classics","Color","Damien Chazelle","English","USA",2.4,0,535,731,1266,8.5,94,3300000,13092000,"tt2582802"
"Zoolander 2 ",2016,102,"PG-13","Paramount Pictures","Color","Ben Stiller","English","USA",2.35,4,226,150,376,4.8,23,5e+07,28837115,"tt1608290"
"It's a Wonderful Life ",1946,118,"PG","Liberty Films","Color","Frank Capra","English","USA",1.37,0,206,706,912,8.6,94,3180000,NA,"tt0038650"
"Alleluia! The Devil's Carnival ",2016,97,NA,"Execution Style Entertainment","Color","Darren Lynn Bousman","English","USA",1.78,5,10,20,30,7.4,NA,5e+05,NA,"tt3892618"
