"timestamp","calories","sat_fat","sodium","sugar","carbs","total_fat","healthy_level","serving_size","ingredients","name","salty_sweet"
2013-10-10 08:36:00,180,0,0,0,0,6,"Slightly healthy",1,"Raspberries, corn starch, and sugar","Yo plait","Sweet"
2013-10-05 17:57:00,290,3,370,2,29,18,"Unhealthy",1,"Potatoes vegetable oil lemon seasoning","Lemon lays","Salty"
2013-10-06 23:07:00,110,0,330,2,23,0,"Neither healthy nor unhealthy",3,"Wheat flour, sugar, salt","Pretzel Crisps","Salty"
2013-10-18 11:37:00,160,2,250,0,13,11,"Slightly Unhealthy",1,"Enriched corn meal ferrous sulfate","Hot cheetos","Salty"
2013-10-29 22:00:00,15,0,78,3,3,0,"Slightly healthy",12,"water, fructose corn syrup, citric acid","powerade zero","Sweet"
2013-10-03 15:50:00,210,8,15,21,26,13,"Neither healthy nor unhealthy",1,"Sugar , unsweetened chocolate , cocoa butter","Lamontagene dark chocolate","Sweet"
2013-10-10 09:38:00,120,1,210,1,16,6,"Unhealthy",1,"Corn meal, vegetable oil, salt","Funyuns","Salty"
2013-10-03 08:10:00,150,1,170,13,28,4,"Unhealthy",1,"Toasted Rice CerealMarshmallowFructose","Rice Krispie Treats","Sweet"
2013-09-28 12:45:00,60,0,46,13,14,0,"Slightly healthy",1,"watersugargelatin","gelatin","Sweet"
2013-09-30 16:20:00,320,3,500,1,30,22,"Unhealthy",1,"Enriched corn meal, vegetable oil, flamin hot seasoning","Cheetos flamin hot","Salty"
2013-09-29 21:47:00,100,2,100,8,18,3,"Slightly Unhealthy",1,"whole grain wheat, rice flour, sugar","cinnamon toast crunch treats","Sweet"
2013-10-30 12:45:00,0,0,0,0,0,0,"Healthy",1,"purifid water,  magnesium sulfate potassium","water","Salty"
2013-10-29 22:12:00,80,0,150,21,21,0,"Slightly healthy",12,"water, fructose corn syrup,citric acid","powerade","Sweet"
2013-10-10 10:22:00,130,1,180,2,20,5,"Neither healthy nor unhealthy",1,"white pepper, potato flakes, salt","baked fries","Salty"
2013-09-28 09:43:00,170,3,125,13,25,70,"Healthy",1,"whole grain oat flour,bittersweet chocolate chip,chocolate liquor","Quaker cookies","Sweet"
2013-10-10 11:08:00,70,0,20,17,18,0,"Slightly healthy",1,"Filtered water, pure cane sugar, cocunut concentrated water","Body armer","Sweet"
