Date,Ticker,Open Price,Close Price,High Price,Low Price,Volume Traded,Market Cap,PE Ratio,Dividend Yield,EPS,52 Week High,52 Week Low,Sector
01-01-2025,KAS,124.12,123.27,124.74,119.20,5289175,1525062848.43,16.60,2.80,7.43,131.9,112.18,Technology
01-01-2025,ABD,128.60,127.35,131.58,123.86,5925629,1085961482.35,24.80,0.82,5.14,131.17,95.51,Healthcare
01-01-2025,JCI,163.13,162.49,166.63,158.40,17560431,1534407071.31,15.82,0.19,10.27,165.74,142.99,Energy
01-01-2025,MBI,56.22,56.67,59.09,55.74,15664283,845335644.37,17.50,2.88,3.24,58.94,47.04,Industrials
01-01-2025,BDE,110.69,110.53,114.26,108.29,9917076,1318043837.25,22.22,0.92,4.97,128.21,99.48,Consumer Staples
01-01-2025,IOU,87.88,91.54,92.24,86.68,11999915,1213002011.71,15.95,2.75,5.74,107.1,82.39,Materials
01-01-2025,KEL,210.18,205.84,212.38,205.73,8926003,1278033506.17,31.74,2.21,6.49,234.66,146.15,Real Estate
01-01-2025,HJH,27.29,30.25,31.35,25.33,13167440,354552656.32,18.83,1.06,1.61,31.76,26.92,Utilities
01-01-2025,GII,224.10,222.15,227.01,220.04,1199825,3194629391.52,37.46,0.66,5.93,257.69,186.61,Financials
01-01-2025,IYT,179.79,178.70,181.95,177.92,934741,1286272802.68,34.80,2.32,5.14,209.08,125.09,Communication Services
02-01-2025,KAS,114.38,114.47,117.32,109.68,6847450,1360526119.85,27.59,0.88,4.15,116.76,92.72,Technology
02-01-2025,ABD,131.03,130.79,131.63,130.16,15303789,918009345.6,31.37,1.91,4.17,150.41,126.87,Healthcare
02-01-2025,JCI,167.78,167.03,169.25,163.25,16351434,1680442522.18,22.57,0.85,7.4,182.06,121.93,Energy
02-01-2025,MBI,49.17,49.54,53.34,47.16,3357170,644002350.65,26.86,2.38,1.84,53.5,49.54,Industrials
02-01-2025,BDE,122.27,122.25,123.34,120.90,18970157,1202632319.63,26.18,1.07,4.67,127.14,86.8,Consumer Staples
02-01-2025,IOU,107.18,105.60,107.25,105.23,6249640,1445947414.71,12.19,0.47,8.66,107.71,97.15,Materials
02-01-2025,KEL,212.39,216.31,217.31,212.16,17691793,1563445159.94,9.79,1.52,22.09,259.57,170.88,Real Estate
02-01-2025,HJH,42.92,42.84,42.97,39.63,9538176,625721020.22,24.30,2.86,1.76,51.41,34.27,Utilities
02-01-2025,GII,220.79,220.06,222.58,217.48,2560720,1385239398.44,28.53,2.13,7.71,257.47,169.45,Financials
02-01-2025,IYT,182.00,181.14,184.48,177.94,17577008,2433303968.76,12.43,2.85,14.57,184.76,146.72,Communication Services
03-01-2025,KAS,120.90,118.97,123.51,118.14,8272394,940187311,18.20,0.21,6.54,141.57,105.88,Technology
03-01-2025,ABD,128.16,127.74,132.27,127.51,4705211,870033816.47,31.65,1.98,4.04,152.01,106.02,Healthcare
03-01-2025,JCI,171.86,173.77,175.52,170.84,1481855,2488075574.81,33.98,2.16,5.11,178.98,123.38,Energy
03-01-2025,MBI,52.94,49.39,57.30,48.18,6314578,594699335.27,27.78,1.36,1.78,52.85,43.46,Industrials
03-01-2025,BDE,111.59,111.74,112.37,110.85,12599754,907593153.86,11.93,2.21,9.37,127.38,110.62,Consumer Staples
03-01-2025,IOU,97.57,97.98,99.04,95.89,13530698,1103354551.59,11.66,2.87,8.4,109.74,84.26,Materials
03-01-2025,KEL,193.78,196.07,198.23,192.47,4149315,2262292180.43,34.56,0.32,5.67,205.87,186.27,Real Estate
03-01-2025,HJH,37.98,35.65,41.42,34.42,6514353,335781366.23,21.57,0.80,1.65,42.07,32.44,Utilities
